Output file needed for ML task
columns representation is as follows: -
1. Experiment Number
2. Trial Number
3. User Judgement of the GUI Yes (Congruent), No (Not Congruent)
4. skew of the time spend in each trial
5. Kurtosis of the time spend in each trial
6. Mean of the time spend in each trial
7. Variance of the time spend in each trial
8. Standard Deviation of the time spend in each trial
9. Block number on which maximum amount of time is spend (1 - 6 Labels and 7 - 12 pictures)
10. Total time spend in one trial
11. Total gaze distance
12. Total gaze distance in X - axis
13. Total gaze distance in Y - axis
14. Mean of the total Transition 
15. Variance of the total transition
16. Block number on which maximum transition are made (1 - 6 Labels and 7 - 12 pictures)
17. Skew of the total transition in a trial
18. Kurtosis of the total transition in a trial
19. Standard Deviation of the total transition in a trial
20. Trial Type C (Correct) = 1, W (Wrong) = 2, S (Shuffle) = 3, P (one Permutation) = 4

*****************************************************************
exp,trial,userjudgement,time_skew,time_kurtosis,time_mean,time_variance,t_sd,time_maxblock,timefortrial,gazedistall,gazedistX,gazedistY,trans_mean,trans_var,trans_maxblock,trans_skew,trans_kurtosis,trans_sd,correctlabel
3,6,Yes,-0.370719220514,-0.095685723329,23.4166666667,178.083333333,13.3447867474,12,281,62070.0305167,6713.0,55981.5,5172.50254306,337.597465034965,11,8.29908590813,66.9224875693,18.3738255416,1
3,7,No,1.00420673347,-0.529309079848,19.4166666667,683.71969697,26.148034285,12,233,49724.4083371,4795.0,45317.5,4143.70069476,224.1583139083139,11,8.29509092225,66.8782163981,14.9719175094,3
3,8,No,0.0720081219203,-1.30006904212,21.1666666667,304.878787879,17.4607785588,7,254,124628.302314,5754.0,119031.0,10385.6918595,366.99256993006986,10,8.24939889483,66.3561459879,19.1570501364,3
3,9,No,1.07125852287,-0.39268352701,7.83333333333,151.060606061,12.2906715057,8,94,2263.0,1918.0,345.0,188.583333333,0.027195027195027192,2,5.74704893215,31.0285714286,0.164909148306,2
3,10,No,3.01511344578,7.09090909091,4.91666666667,290.083333333,17.0318329411,9,59,0,0,0,0.0,0.0,1,0.0,-3.0,0.0,3
3,11,No,-0.452202580078,0.104513812144,22.1666666667,156.151515152,12.4960599851,8,266,106282.362291,7672.0,99209.0,8856.86352426,1084.6631216006217,11,8.30674634854,67.0066188299,32.9342241688,4
3,12,Yes,0.605062228865,-0.627630729521,21.25,387.113636364,19.6752035914,12,255,86314.5599766,7672.0,79084.5,7192.87999805,682.31993006993,11,8.30247235888,66.9596585594,26.121254374,1
3,13,Yes,0.418345136425,-0.348116126359,19.25,256.931818182,16.0290928683,12,231,167956.784299,6713.0,161869.5,13996.3986916,2139.636169386169,11,8.21918291885,65.9977370919,46.2562014154,1
3,14,No,0.206009990052,-0.958663434991,19.4166666667,282.265151515,16.8007485403,5,233,170148.445989,4795.0,166056.5,14179.0371658,3052.4113733488734,11,8.3072648913,67.0119916086,55.2486323211,4
3,15,No,0.648820085051,0.553970605628,20.9166666667,221.901515152,14.896359124,12,251,143749.890707,4795.0,139112.0,11979.1575589,2145.5745435120434,11,8.30613861774,66.9996696889,46.320346971,1
3,16,No,0.757654824471,-1.1374314782,19.9166666667,732.265151515,27.0603982143,10,239,295365.227104,5754.0,289927.5,24613.7689253,7584.188374125874,11,8.26584037786,66.5426477334,87.0872457604,4
3,17,Yes,-0.26529482675,-0.991178154628,24.9166666667,262.446969697,16.2002151127,7,299,150054.227104,8631.0,141739.5,12504.5189253,2233.494123931624,11,8.3070514136,67.0097183974,47.2598574261,3
3,18,Yes,1.26558125092,0.751754238888,26.3333333333,772.606060606,27.7957921385,10,316,214449.890707,4795.0,209812.0,17870.8242256,4906.4078768453755,11,8.30734296678,67.0127824701,70.0457555948,1
3,19,Yes,0.975238250001,-0.293065688095,16.8333333333,321.242424242,17.9232369912,12,202,342189.0635,6713.0,335951.5,28515.7552917,2653.224893162393,10,7.65421269648,58.831247883,51.5094641126,1
3,20,No,2.44925523183,4.57993268669,5.66666666667,216.060606061,14.6990001721,10,68,3836.0,3836.0,0.0,319.666666667,0.055167055167055175,4,8.30747160736,67.014084507,0.234876680765,2
3,21,No,1.81153503092,2.84410169712,14.75,403.295454545,20.0822173712,8,177,5484.0,4795.0,689.0,457.0,0.059003496503496504,1,3.61478445646,11.0666666667,0.242906353362,3
3,22,Yes,0.617669014306,-0.812128140571,13.9166666667,252.992424242,15.9057355769,8,167,6113.89070706,5754.0,517.0,509.490892255,0.06682206682206682,9,5.03052425689,27.0746349378,0.25849964569,4
3,23,Yes,0.809458399921,0.927444697046,23.5,97.9090909091,9.8949022688,12,282,251466.693022,8631.0,243149.5,20955.5577518,5941.929875679875,11,8.29677366598,66.8953265179,77.0839145067,1
3,24,Yes,2.54141781002,5.38184207959,21.75,204.204545455,14.2900155862,12,261,216185.336397,6713.0,209631.5,18015.4446997,4873.011460761461,11,8.30726378091,67.0119178975,69.8069585411,1
3,25,Yes,0.686156675527,0.220680085676,16.3333333333,218.606060606,14.7853326174,12,196,216066.710652,7672.0,208939.5,18005.559221,4873.449689199689,11,8.30732592114,67.0125968925,69.8100973298,1
3,26,Yes,-0.401085366589,-0.674817650939,21.5833333333,165.71969697,12.8732162636,7,259,287480.921224,8631.0,279631.5,23956.7434353,8726.230720668222,11,8.30738133089,67.0131565637,93.4142961257,1
3,27,No,2.23645034004,3.52995375065,9.33333333333,540.787878788,23.2548463506,10,112,2877.0,2877.0,0.0,239.75,0.034527972027972025,10,9.50485651998,93.061047909,0.185817039122,2
3,28,Yes,-0.0191531301183,-0.294226344318,21.0833333333,134.810606061,11.6107969606,12,253,279150.66927,5754.0,273681.5,23262.5557725,8356.490627428127,11,8.30711131792,67.0101989074,91.4138426467,1
3,29,Yes,0.256526489103,-0.49720338207,17.75,185.113636364,13.6056472233,12,213,225299.890707,4795.0,220662.0,18774.9908923,5429.674388111887,11,8.30735535794,67.0129079517,73.686324295,1
3,30,No,1.61585042563,1.61281295086,14.9166666667,656.810606061,25.628316489,9,179,6885.5,6713.0,172.5,573.791666667,0.0947940947940948,3,5.70226780812,31.855146466,0.307886496609,2
3,31,Yes,0.659646324645,-0.0997504280511,15.5833333333,216.628787879,14.7183147092,7,187,263363.390707,3836.0,259684.5,21946.9492256,7520.82905982906,11,8.30739831934,67.0133514756,86.7227136328,1
3,32,Yes,0.235525376234,-1.00757202588,23.8333333333,402.696969697,20.0673109732,9,286,353542.5,6713.0,346829.5,29461.875,13418.890248640248,11,8.30724196261,67.0116088506,115.839933739,1
3,33,Yes,-0.442663640801,-1.0443528648,24.25,194.386363636,13.9422510247,12,291,364616.718886,7672.0,357331.5,30384.7265738,14275.587412587412,11,8.30725572779,67.0117574232,119.480489673,1
