Experiment_Number,Trial_Number,User_Judgement,skew,Kurtosis,Mean,Variance,SD,Max_time_Index,total_time,Total_distance,Total_distance_X,Total_distance_Y,Correct_output
4,9,FALSE,1.371772307,0.940781735,37.66666667,2811.515152,53.02372254,9,452,2263,1918,345,2
4,10,FALSE,2.115044085,3.19336019,18.08333333,1554.992424,39.43339225,9,217,0,0,0,4
4,11,FALSE,1.383120821,2.018725567,48.58333333,1205.901515,34.72609271,10,583,108032.3623,7672,100959,3
4,12,TRUE,0.842655591,-0.551225921,45.5,1241.545455,35.23557087,10,546,88064.55998,7672,80834.5,1
4,13,TRUE,0.912310089,-0.800635473,45.66666667,362.0606061,19.02789022,9,548,174931.7843,6713,168844.5,1
4,14,FALSE,1.277741306,0.731249393,41.25,721.4772727,26.86032898,10,495,171898.446,4795,167806.5,3
4,15,FALSE,1.834644109,2.548392789,40.33333333,572.6060606,23.92918847,10,484,147249.8907,4795,142612,1
4,16,FALSE,1.558723263,1.925404226,46.08333333,4036.810606,63.53590014,10,553,302340.2271,5754,296902.5,3
4,17,TRUE,0.407891284,-0.298019746,51.41666667,908.4469697,30.14045404,10,617,151804.2271,8631,143489.5,4
4,18,TRUE,2.277113938,4.230031807,51.33333333,1980.424242,44.50195774,10,616,219699.8907,4795,215062,1
4,19,TRUE,2.136558762,3.829874809,40.25,1438.204545,37.92366735,10,483,350889.0635,6713,344651.5,1
4,20,FALSE,2.257928198,3.709994607,27.5,4149.727273,64.41837682,10,330,3836,3836,0,2
4,21,FALSE,1.593518187,1.820393125,41.91666667,3227.901515,56.81462413,10,503,5484,4795,689,4
4,22,TRUE,1.084548828,0.810396895,42.58333333,1751.901515,41.85572261,10,511,6113.890707,5754,517,3
4,23,TRUE,1.126337416,0.455086918,47.66666667,733.5151515,27.08348485,10,572,258441.693,8631,250124.5,1
4,24,TRUE,1.633036067,1.692369352,44.75,1066.022727,32.65000348,10,537,217935.3364,6713,211381.5,1
4,25,TRUE,1.152349691,0.137236289,42.91666667,386.6287879,19.66287842,10,515,217816.7107,7672,210689.5,1
4,26,TRUE,1.170975171,0.717903778,49.25,719.4772727,26.82307351,10,591,290980.9212,8631,283131.5,1
4,27,FALSE,2.354013821,4.28379024,26.83333333,3811.424242,61.73673333,10,322,2877,2877,0,2
4,28,TRUE,1.731811193,2.118925034,42.08333333,845.1742424,29.07188061,10,505,280900.6693,5754,275431.5,1
4,29,TRUE,2.278894605,4.391471789,42.75,750.75,27.39981752,10,513,228799.8907,4795,224162,1
4,30,FALSE,1.63233344,1.588527968,33.33333333,3356.787879,57.93779318,10,400,6885.5,6713,172.5,2
4,31,TRUE,1.212135436,0.218436496,40.91666667,390.8106061,19.76893032,10,491,265113.3907,3836,261434.5,1
4,32,TRUE,1.036745257,0.14090733,49.5,1169.545455,34.19861773,4,594,355292.5,6713,348579.5,1
4,33,TRUE,0.933790166,-0.325962512,53.16666667,709.4242424,26.6350191,10,638,366366.7189,7672,359081.5,1
4,34,TRUE,0.445105275,-0.814509509,41.41666667,1476.265152,38.42219608,10,497,6916.193022,6713,517,1
4,35,FALSE,1.543833804,1.628990003,33,2145.454545,46.31905165,10,396,382624.5,2877,379747.5,3
4,36,TRUE,1.572350663,2.402528279,47,1514.727273,38.91949733,10,564,194323.1387,4795,189844,4
4,37,TRUE,2.517539989,5.207716653,43.5,1710.272727,41.35544374,10,522,460989.2086,6713,454979,1
4,38,TRUE,0.754872904,-0.717029057,38.33333333,866.969697,29.44434915,4,460,231222.8364,4795,226587,1
4,39,TRUE,2.047079843,3.581610743,42.25,1023.840909,31.99751411,10,507,443063.8907,5754,437467,3
4,40,TRUE,1.226580317,0.537394534,45.33333333,729.3333333,27.00617213,10,544,469417.8907,6713,462862,3
5,1,TRUE,0.72916279,-0.784428212,23,702.3636364,26.502144,7,276,4196.302314,3836,517,1
5,2,FALSE,1.909036687,3.079994312,19.5,738.4545455,27.17452015,9,234,16941.5,1918,15023.5,4
5,3,FALSE,1.033127584,0.41181052,24.83333333,578.6969697,24.05612125,8,298,7646.51826,959,6974,3
5,4,TRUE,0.698545782,0.230251652,27.5,334.8181818,18.29803765,8,330,21875.39071,1918,20114.5,1
5,5,TRUE,-0.266732292,0.034480675,27.5,174.6363636,13.21500525,8,330,42445.39071,3836,38766.5,1
5,6,FALSE,0.75775938,-0.154780038,24.83333333,626.8787879,25.03754756,8,298,5312,4795,517,3
5,7,TRUE,0.822965534,0.47702902,23.66666667,502.969697,22.42698591,8,284,6114.302314,5754,517,4
5,8,TRUE,-0.363773866,-0.282634267,27.83333333,191.969697,13.85531295,9,334,90608.39071,3836,86929.5,1
5,9,FALSE,0.296202375,-1.753104857,23.25,685.4772727,26.1816209,2,279,3581.390707,2877,861.5,2
5,10,FALSE,1.16839943,1.308567313,26.66666667,528.0606061,22.97956932,8,320,29372.5,3836,25536.5,4
5,11,TRUE,1.251288132,0.404498506,25.5,500.6363636,22.37490477,8,306,71576.69302,5754,66136.5,1
5,12,TRUE,0.824724776,-0.708562721,24.16666667,935.2424242,30.58173351,9,290,2434.5,1918,516.5,1
5,13,TRUE,0.193685797,-1.120124356,26.16666667,523.6060606,22.88244001,8,314,6285.890707,5754,689,1
5,14,FALSE,1.795957894,1.480496121,10,421.0909091,20.52049973,7,120,344.5,0,344.5,2
5,15,TRUE,0.776764092,-0.624075699,24,659.6363636,25.68338692,9,288,5154.890707,4795,517,1
5,16,FALSE,-0.327024055,-1.03953667,25.91666667,185.9015152,13.63457059,8,311,101059.3364,5754,95464.5,3
5,17,TRUE,0.40084453,0.626748757,27.5,240.0909091,15.49486719,8,330,153918.2271,4795,149439.5,1
5,18,TRUE,-0.141242712,-0.362454662,27.83333333,216.5151515,14.71445383,8,334,174293.3907,3836,170614.5,1
5,19,FALSE,0.396702652,-0.996541186,23.91666667,508.0833333,22.54070392,8,287,5312,4795,517,2
5,20,TRUE,0.226077118,-0.248649693,26.33333333,229.5151515,15.14975747,9,316,249093.3907,3836,245414.5,1
5,21,TRUE,0.20278541,-0.684305632,28.33333333,276.6060606,16.631478,12,340,261843,3836,258007,1
5,22,FALSE,0.622066959,-1.424083697,23.91666667,894.6287879,29.91034583,8,287,4180.5,3836,344.5,3
5,23,TRUE,-0.88735162,0.068114495,26.91666667,142.2651515,11.92749561,9,323,183211.4815,5754,177844,1
5,24,FALSE,0.358779493,-1.542517949,23,667.2727273,25.83162262,8,276,2120.604629,1918,516,2
5,25,FALSE,1.835765647,2.916837905,24.91666667,1138.265152,33.73818536,9,299,2449.890707,1918,689,4
5,26,FALSE,0.676929153,-0.970345002,24.33333333,785.6969697,28.03028665,9,292,2105.802314,1918,344.5,1
5,27,TRUE,0.63813367,-1.162109352,25.25,887.6590909,29.79360822,9,303,2435,1918,517,2
5,28,TRUE,0.211425414,-1.22460361,25.5,370.8181818,19.25663994,7,306,119996.8907,2877,117277,4
5,29,FALSE,0.44126,-0.667110156,25.5,528.0909091,22.98022866,9,306,5154.890707,4795,517,3
5,30,TRUE,0.714155332,-0.308737912,24.91666667,610.9924242,24.71826095,9,299,1476,959,517,1
5,31,TRUE,0.834355107,-0.861361506,24.25,970.0227273,31.14518787,2,291,5941.802314,5754,344.5,3
5,32,TRUE,0.626877494,-0.651184408,23.83333333,594.6969697,24.38640953,9,286,3236.890707,2877,517,1
5,33,TRUE,0.479625722,-1.398600397,20.91666667,586.9924242,24.22792654,9,251,3866.693022,3836,344.5,1
5,34,TRUE,0.355900475,-0.740226428,24.66666667,486.969697,22.0673899,9,296,7875.193022,7672,517,1
5,35,TRUE,0.176717892,-1.211747866,26.5,395.3636364,19.88375308,10,318,151347.5,3836,147511.5,4
5,36,FALSE,1.45998406,1.7780934,26.5,719.3636364,26.82095517,9,318,95006.39071,5754,89409.5,2
5,37,TRUE,0.875033294,-0.578206941,25.08333333,993.1742424,31.5146671,9,301,344.5,0,344.5,3
5,38,TRUE,1.954870677,3.514119238,24.58333333,955.1742424,30.90589333,9,295,4540.802314,3836,861.5,1
5,39,FALSE,0.872938625,-0.713941749,22.66666667,857.1515152,29.27715005,1,272,5941.802314,5754,344.5,3
5,40,TRUE,0.538922563,-1.313605805,23.91666667,822.9924242,28.68784454,9,287,2105.802314,1918,344.5,1
6,1,TRUE,1.205792543,1.629192218,39.08333333,325.3560606,18.03762902,10,469,14628.99534,6713,8386.5,4
6,2,FALSE,1.00365496,-0.738423173,16,619.4545455,24.8888438,2,192,1918,1918,0,2
6,3,FALSE,0.465413373,-1.525263729,37.33333333,1709.515152,41.34628341,1,448,4367.890707,3836,689,1
6,4,FALSE,0.659081284,-1.41740378,34.58333333,2163.537879,46.5138461,12,415,113674.1728,4795,109197.5,3
6,5,FALSE,0.593854634,-1.181346573,26.83333333,1002.333333,31.65964835,5,322,58079.3364,3836,54402.5,3
6,6,TRUE,1.357093251,1.619229816,38.25,375.6590909,19.38192691,9,459,47161.19302,6713,40762,1
6,7,TRUE,0.778543725,-0.310576029,40.91666667,373.9015152,19.33653317,3,491,63363.2271,6713,56966.5,1
6,8,TRUE,1.050954061,-0.243906009,37.33333333,2333.878788,48.31023481,4,448,7072.890707,6713,517,3
6,9,FALSE,1.742609357,1.167592131,16.91666667,1259.901515,35.49509142,10,203,3049.5,2877,172.5,2
6,10,TRUE,0.474536433,-1.089124597,40.41666667,1056.265152,32.5002331,10,485,115618.3999,6713,109540,1
6,11,TRUE,0.803093209,-0.473002572,42,636.5454545,25.22985245,10,504,178367.9751,8631,170212,1
6,12,TRUE,2.196344616,4.031305358,39.16666667,819.7878788,28.63193809,10,470,183817.8907,6713,177262,1
6,13,TRUE,-0.212658296,-0.174842502,40.83333333,369.7878788,19.22986944,10,490,171861.0294,7672,164662,2
6,14,TRUE,1.708288249,2.420014686,39.25,677.1136364,26.02140727,10,471,110024.1387,6713,103627,1
6,15,FALSE,0.578662469,-0.93259415,41.41666667,1693.719697,41.15482593,12,497,247207.0635,4795,242887.5,3
6,16,FALSE,1.98410958,3.000595038,24.83333333,1846.333333,42.96898106,10,298,2090.5,1918,172.5,2
6,17,TRUE,0.797981794,0.592174232,38.75,218.5681818,14.7840516,10,465,100331.3547,4795,95982,1
6,18,TRUE,-0.114479065,-1.272812052,40.66666667,923.6969697,30.39238342,10,488,185008.409,7672,177780,1
6,19,TRUE,0.178094899,-0.147194434,40.16666667,125.7878788,11.21551955,12,482,200854.1014,7672,193884,1
6,20,TRUE,1.374037676,0.843316504,39.83333333,396.1515152,19.90355534,12,478,210376.3179,6713,204209,1
6,21,TRUE,0.720619854,-0.709273345,41.83333333,567.4242424,23.82066839,12,502,344521.047,6713,338512,1
6,22,TRUE,0.176952455,-0.505455228,39.33333333,482.4242424,21.96415813,8,472,99601.0212,6713,93431.5,1
6,23,TRUE,0.630533188,-0.16428942,40.75,166.9318182,12.92020968,12,489,330907.5294,8631,322749.5,4
6,24,FALSE,0.560732646,-0.294856647,39.66666667,299.8787879,17.31700863,1,476,175176.9202,6713,169378.5,3
6,25,TRUE,0.493140838,-0.799819305,43.75,1565.113636,39.56151711,12,525,584398.8364,6713,577845,1
6,26,FALSE,1.21246768,0.07795477,47,4580,67.67569726,10,564,1272786.281,1918,1271182.5,4
6,27,TRUE,1.468005226,1.479581589,40.41666667,623.5378788,24.97074045,10,485,271058.8907,5754,265462,1
6,28,FALSE,1.561055966,1.519130801,44.83333333,4354.151515,65.98599484,10,538,639230.3364,2877,636512.5,3
6,29,FALSE,0.97829499,-0.545517836,47.5,3507.181818,59.22146417,12,570,1298121,959,1297162,3
6,30,TRUE,1.330095473,0.565160427,39.25,358.75,18.94069692,10,471,331801.7814,5754,326362,1
6,31,FALSE,0.829723963,0.206994127,40.83333333,1007.787879,31.74567496,10,490,461986.8907,5754,456390,4
6,32,FALSE,1.387133514,0.383255021,37.5,4077.727273,63.85708475,3,450,3851.390707,3836,172.5,2
6,33,FALSE,-0.113005739,-1.744338092,42.08333333,1498.628788,38.71212714,4,505,790207.8907,4795,785570,3
6,34,TRUE,0.903369202,-0.279147263,46.58333333,1898.992424,43.57743022,12,559,1174609.064,7672,1167412.5,1
6,35,TRUE,0.079293749,-1.405105117,41.08333333,1205.901515,34.72609271,12,493,546604.2271,6713,540207.5,4
6,36,TRUE,0.149724326,-0.279815458,39.75,452.9318182,21.28219486,3,477,282083.3364,3836,278406.5,2
6,37,FALSE,0.755521792,-0.715630443,40.25,356.75,18.88782677,10,483,367959.4751,4795,363639.5,1
